x,y,z,t
1.0,0.0,0.0,0.0
0.9179244320490616,0.26634000239836453,0.0012638894530131485,0.01
0.8679194655274635,0.5117403828040941,0.004655439291018149,0.02
0.8453600359040712,0.7446540987793762,0.009835769693336195,0.03
0.8468061921809072,0.9723314072657018,0.016734477121926578,0.04
0.8697874474872408,1.2011302126429888,0.025486081332564633,0.05
0.9126424933191503,1.4367639037786564,0.03640093703840862,0.06
0.9743890005008571,1.6845129099619247,0.04995803642018037,0.07
1.054625095147568,1.949398657588674,0.06681537187988408,0.08
1.1534588714957614,2.236330242312767,0.08783676136218112,0.09
1.2714587012808296,2.550230917134023,0.11413535783963107,0.1
1.4096121186835517,2.8961472985453227,0.14713051925077653,0.11
1.5692932231285184,3.279332123489859,0.18860861906598525,0.12
1.7522670866064651,3.7053386390369156,0.2408340499126527,0.13
1.9606841891364184,4.180083022585291,0.30668506798136547,0.14
2.1970509168597796,4.709859253084481,0.38974051789391134,0.15
2.4642702433042882,5.301409954028648,0.49452437361779045,0.16
2.765638706965089,5.961892971413605,0.6267706753304335,0.17
3.104806752286321,6.698806854425059,0.7935071728833427,0.18
3.485843881426001,7.5199389046233405,1.0036865779057689,0.19
3.9131510764264865,8.433075658631788,1.2683556710203743,0.2
4.391447818644567,9.445804661651875,1.60104434141851,0.21
4.925696938722967,10.564786047012209,2.0187674915752423,0.22
5.520965916403196,11.795456079016818,2.5416337833933067,0.23
6.182211110959656,13.140355844340077,3.1945803168052307,0.24
6.914039469740041,14.59848824913238,4.006559644164522,0.25
7.7202103846681185,16.16282274632931,5.011709080941554,0.26
8.603081353222036,17.81805250623758,6.248442476959201,0.27
9.562915197045962,19.538329448492085,7.758849462966417,0.28
10.596614964138828,21.282450162190344,9.585972068417286,0.29
11.696778771649596,22.992277522106136,11.770920134301125,0.3
12.850238526256057,24.58918718424109,14.345828593143915,0.31
14.036365343066732,25.9724206175296,17.32710101322134,0.32
15.226118354197094,27.02299550601467,20.703659696662744,0.33
16.38120783567375,27.608290190767196,24.42858033557304,0.34
